#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
   74 NZ           CRP          NZ+          E                                        6.42e-15  0.00e+00  0.00e+00  46
   75 NS           CRP          N            S                                        6.50e-15  0.00e+00  0.00e+00  46
   76 O2           CRP          O            O                                        9.75e-15  0.00e+00  0.00e+00  46
   77 OZ           CRP          Z            O                                        9.75e-15  0.00e+00  0.00e+00  46
   78 Z2           CRP          Z            Z                                        9.75e-15  0.00e+00  0.00e+00  46
   79 O2           CRP          O2+          E                                        1.52e-15  0.00e+00  0.00e+00  46
   80 OZ           CRP          OZ+          E                                        1.52e-15  0.00e+00  0.00e+00  46
   81 Z2           CRP          Z2+          E                                        1.52e-15  0.00e+00  0.00e+00  46
   82 OH           CRP          O            H                                        6.63e-15  0.00e+00  0.00e+00  46
   83 ZH           CRP          Z            H                                        6.63e-15  0.00e+00  0.00e+00  46
   84 PH           CRP          P            H                                        6.50e-15  0.00e+00  0.00e+00  46
   85 PN           CRP          P            N                                        6.50e-15  0.00e+00  0.00e+00  46
   86 PO           CRP          P            O                                        6.50e-15  0.00e+00  0.00e+00  46
   87 PZ           CRP          P            Z                                        6.50e-15  0.00e+00  0.00e+00  46
   88 S2           CRP          S            S                                        6.50e-15  0.00e+00  0.00e+00  46
   89 SiC          CRP          Si           C                                        6.50e-15  0.00e+00  0.00e+00  46
   90 SiY          CRP          Si           Y                                        6.50e-15  0.00e+00  0.00e+00  46
   91 SiH          CRP          Si           H                                        6.50e-15  0.00e+00  0.00e+00  46
   92 SiN          CRP          Si           N                                        6.50e-15  0.00e+00  0.00e+00  46
   93 SiO          CRP          Si           O                                        6.50e-15  0.00e+00  0.00e+00  46
   94 SiZ          CRP          Si           Z                                        6.50e-15  0.00e+00  0.00e+00  46
   95 SiS          CRP          Si           S                                        6.50e-15  0.00e+00  0.00e+00  46
   96 SO           CRP          S            O                                        6.50e-15  0.00e+00  0.00e+00  46
   97 SZ           CRP          S            Z                                        6.50e-15  0.00e+00  0.00e+00  46
   98 C2H          CRP          C2           H                                        6.50e-14  0.00e+00  0.00e+00  46
   99 CYH          CRP          CY           H                                        6.50e-14  0.00e+00  0.00e+00  46
  100 Y2H          CRP          Y2           H                                        6.50e-14  0.00e+00  0.00e+00  46
  101 C2N          CRP          C            CN                                       1.30e-14  0.00e+00  0.00e+00  46
  102 CYN          CRP          Y            CN                                       6.50e-15  0.00e+00  0.00e+00  46
  103 CYN          CRP          C            YN                                       6.50e-15  0.00e+00  0.00e+00  46
