Radius(AU)       0.1050
ZetaH2[s^-1]   1.4870e-18  1.2724e-18  1.2608e-18  1.2557e-18  1.2524e-18  1.2496e-18  1.2467e-18  1.2434e-18  1.2394e-18  1.2344e-18  1.2283e-18  1.2206e-18  1.2111e-18  1.1992e-18  1.1846e-18  1.1665e-18  1.1445e-18  1.1178e-18  1.0857e-18  1.0477e-18  1.0034e-18  9.5247e-19  8.9517e-19  8.3200e-19  7.6402e-19  6.9277e-19  6.2024e-19  5.4872e-19  4.8054e-19  4.1781e-19  3.6208e-19  3.1415e-19  2.7394e-19  2.4059e-19  2.1268e-19  1.8851e-19  1.6654e-19  1.5507e-19  1.5682e-19  1.5088e-19  1.3441e-19  1.0955e-19  7.8109e-20  5.1865e-20  4.0102e-20  3.4614e-20  3.3602e-20  3.3590e-20  3.3590e-20  3.3590e-20 
Radius(AU)       2.1081
z(AU)          0.0000e+00  1.2531e-05  1.5702e-05  1.9676e-05  2.4656e-05  3.0896e-05  3.8715e-05  4.8513e-05  6.0791e-05  7.6176e-05  9.5455e-05  1.1961e-04  1.4988e-04  1.8782e-04  2.3535e-04  2.9491e-04  3.6955e-04  4.6308e-04  5.8028e-04  7.2713e-04  9.1116e-04  1.1418e-03  1.4307e-03  1.7928e-03  2.2465e-03  2.8151e-03  3.5275e-03  4.4203e-03  5.5390e-03  6.9408e-03  8.6974e-03  1.0899e-02  1.3657e-02  1.7113e-02  2.1444e-02  2.6871e-02  3.3672e-02  4.2194e-02  5.2872e-02  6.6253e-02  8.3021e-02  1.0403e-01  1.3036e-01  1.6335e-01  2.0469e-01  2.5650e-01  3.2141e-01  4.0276e-01  5.0469e-01  6.3242e-01 
ZetaH2[s^-1]   1.2859e-18  1.2613e-18  1.2590e-18  1.2578e-18  1.2570e-18  1.2563e-18  1.2555e-18  1.2545e-18  1.2532e-18  1.2515e-18  1.2492e-18  1.2462e-18  1.2422e-18  1.2371e-18  1.2306e-18  1.2223e-18  1.2120e-18  1.1991e-18  1.1832e-18  1.1638e-18  1.1402e-18  1.1117e-18  1.0778e-18  1.0379e-18  9.9165e-19  9.3882e-19  8.7955e-19  8.1436e-19  7.4418e-19  6.7045e-19  5.9506e-19  5.2024e-19  4.4841e-19  3.8185e-19  3.2236e-19  2.7101e-19  2.2792e-19  1.9254e-19  1.7002e-19  1.5311e-19  1.3396e-19  1.1847e-19  1.0195e-19  7.8398e-20  5.6597e-20  4.5694e-20  3.9746e-20  3.8683e-20  3.8672e-20  3.8672e-20 
Radius(AU)       3.6965
z(AU)          0.0000e+00  1.2675e-05  1.6066e-05  2.0364e-05  2.5812e-05  3.2718e-05  4.1471e-05  5.2566e-05  6.6628e-05  8.4453e-05  1.0705e-04  1.3568e-04  1.7198e-04  2.1799e-04  2.7631e-04  3.5024e-04  4.4393e-04  5.6270e-04  7.1324e-04  9.0405e-04  1.1459e-03  1.4525e-03  1.8410e-03  2.3336e-03  2.9579e-03  3.7492e-03  4.7522e-03  6.0235e-03  7.6350e-03  9.6775e-03  1.2267e-02  1.5548e-02  1.9708e-02  2.4980e-02  3.1663e-02  4.0134e-02  5.0871e-02  6.4480e-02  8.1730e-02  1.0360e-01  1.3131e-01  1.6644e-01  2.1097e-01  2.6740e-01  3.3894e-01  4.2962e-01  5.4455e-01  6.9024e-01  8.7489e-01  1.1090e+00 
ZetaH2[s^-1]   1.3273e-18  1.3251e-18  1.3246e-18  1.3243e-18  1.3241e-18  1.3240e-18  1.3238e-18  1.3236e-18  1.3234e-18  1.3230e-18  1.3224e-18  1.3216e-18  1.3204e-18  1.3188e-18  1.3166e-18  1.3137e-18  1.3096e-18  1.3044e-18  1.2975e-18  1.2886e-18  1.2774e-18  1.2632e-18  1.2457e-18  1.2241e-18  1.1978e-18  1.1660e-18  1.1281e-18  1.0835e-18  1.0317e-18  9.7268e-19  9.0660e-19  8.3413e-19  7.5642e-19  6.7517e-19  5.9259e-19  5.1118e-19  4.3349e-19  3.6143e-19  2.9405e-19  2.2152e-19  1.6585e-19  1.2808e-19  1.1289e-19  9.5972e-20  7.5621e-20  5.8947e-20  5.0443e-20  4.5543e-20  4.5094e-20  4.5092e-20 
Radius(AU)       4.6276
z(AU)          0.0000e+00  1.2734e-05  1.6214e-05  2.0646e-05  2.6290e-05  3.3477e-05  4.2628e-05  5.4280e-05  6.9118e-05  8.8011e-05  1.1207e-04  1.4270e-04  1.8171e-04  2.3138e-04  2.9463e-04  3.7517e-04  4.7772e-04  6.0831e-04  7.7459e-04  9.8633e-04  1.2559e-03  1.5993e-03  2.0364e-03  2.5931e-03  3.3019e-03  4.2045e-03  5.3538e-03  6.8173e-03  8.6808e-03  1.1054e-02  1.4075e-02  1.7923e-02  2.2822e-02  2.9060e-02  3.7004e-02  4.7119e-02  5.9999e-02  7.6400e-02  9.7284e-02  1.2388e-01  1.5774e-01  2.0086e-01  2.5576e-01  3.2568e-01  4.1470e-01  5.2806e-01  6.7241e-01  8.5621e-01  1.0903e+00  1.3883e+00 
ZetaH2[s^-1]   1.3513e-18  1.3506e-18  1.3504e-18  1.3503e-18  1.3502e-18  1.3502e-18  1.3501e-18  1.3500e-18  1.3498e-18  1.3496e-18  1.3494e-18  1.3489e-18  1.3483e-18  1.3474e-18  1.3462e-18  1.3444e-18  1.3419e-18  1.3386e-18  1.3341e-18  1.3281e-18  1.3203e-18  1.3103e-18  1.2976e-18  1.2817e-18  1.2618e-18  1.2375e-18  1.2078e-18  1.1720e-18  1.1296e-18  1.0798e-18  1.0224e-18  9.5743e-19  8.8530e-19  8.0691e-19  7.2373e-19  6.3774e-19  5.5124e-19  4.6634e-19  3.8325e-19  2.7972e-19  1.9995e-19  1.4557e-19  1.2313e-19  1.0495e-19  8.5207e-20  6.7382e-20  5.7505e-20  5.1177e-20  5.0052e-20  5.0040e-20 
Radius(AU)       5.0343
z(AU)          0.0000e+00  1.2755e-05  1.6270e-05  2.0753e-05  2.6472e-05  3.3766e-05  4.3070e-05  5.4937e-05  7.0075e-05  8.9383e-05  1.1401e-04  1.4543e-04  1.8550e-04  2.3661e-04  3.0181e-04  3.8497e-04  4.9105e-04  6.2635e-04  7.9894e-04  1.0191e-03  1.2999e-03  1.6581e-03  2.1149e-03  2.6977e-03  3.4410e-03  4.3891e-03  5.5985e-03  7.1412e-03  9.1089e-03  1.1619e-02  1.4820e-02  1.8904e-02  2.4113e-02  3.0757e-02  3.9232e-02  5.0042e-02  6.3830e-02  8.1418e-02  1.0385e-01  1.3247e-01  1.6897e-01  2.1553e-01  2.7491e-01  3.5067e-01  4.4729e-01  5.7054e-01  7.2774e-01  9.2827e-01  1.1840e+00  1.5103e+00 
ZetaH2[s^-1]   1.3583e-18  1.3579e-18  1.3578e-18  1.3577e-18  1.3577e-18  1.3576e-18  1.3576e-18  1.3575e-18  1.3574e-18  1.3572e-18  1.3570e-18  1.3567e-18  1.3562e-18  1.3555e-18  1.3545e-18  1.3530e-18  1.3510e-18  1.3482e-18  1.3444e-18  1.3394e-18  1.3326e-18  1.3239e-18  1.3127e-18  1.2986e-18  1.2809e-18  1.2589e-18  1.2320e-18  1.1994e-18  1.1603e-18  1.1140e-18  1.0602e-18  9.9856e-19  9.2933e-19  8.5312e-19  7.7108e-19  6.8489e-19  5.9662e-19  5.0824e-19  4.2000e-19  3.0605e-19  2.1651e-19  1.5579e-19  1.2893e-19  1.0938e-19  8.9449e-20  7.1281e-20  6.0776e-20  5.4042e-20  5.2550e-20  5.2529e-20 
Radius(AU)       7.8899
z(AU)          0.0000e+00  1.2873e-05  1.6571e-05  2.1332e-05  2.7461e-05  3.5350e-05  4.5506e-05  5.8579e-05  7.5408e-05  9.7073e-05  1.2496e-04  1.6086e-04  2.0708e-04  2.6657e-04  3.4315e-04  4.4173e-04  5.6864e-04  7.3201e-04  9.4231e-04  1.2130e-03  1.5615e-03  2.0101e-03  2.5876e-03  3.3310e-03  4.2880e-03  5.5199e-03  7.1058e-03  9.1472e-03  1.1775e-02  1.5158e-02  1.9513e-02  2.5119e-02  3.2335e-02  4.1625e-02  5.3583e-02  6.8978e-02  8.8794e-02  1.1430e-01  1.4714e-01  1.8942e-01  2.4383e-01  3.1389e-01  4.0406e-01  5.2015e-01  6.6958e-01  8.6195e-01  1.1096e+00  1.4284e+00  1.8387e+00  2.3670e+00 
ZetaH2[s^-1]   1.3628e-18  1.3628e-18  1.3628e-18  1.3628e-18  1.3628e-18  1.3628e-18  1.3628e-18  1.3628e-18  1.3627e-18  1.3627e-18  1.3627e-18  1.3626e-18  1.3625e-18  1.3623e-18  1.3620e-18  1.3616e-18  1.3609e-18  1.3600e-18  1.3587e-18  1.3567e-18  1.3540e-18  1.3502e-18  1.3451e-18  1.3382e-18  1.3291e-18  1.3173e-18  1.3022e-18  1.2831e-18  1.2594e-18  1.2303e-18  1.1948e-18  1.1522e-18  1.1017e-18  1.0429e-18  9.7538e-19  8.9927e-19  8.1490e-19  7.2265e-19  6.2183e-19  4.7507e-19  3.3333e-19  2.3882e-19  1.8313e-19  1.4879e-19  1.2264e-19  1.0106e-19  8.6485e-20  7.8202e-20  7.3981e-20  7.3709e-20 
Radius(AU)       8.8278
z(AU)          0.0000e+00  1.2902e-05  1.6647e-05  2.1479e-05  2.7714e-05  3.5757e-05  4.6136e-05  5.9526e-05  7.6804e-05  9.9096e-05  1.2786e-04  1.6497e-04  2.1285e-04  2.7463e-04  3.5434e-04  4.5719e-04  5.8988e-04  7.6110e-04  9.8200e-04  1.2670e-03  1.6348e-03  2.1093e-03  2.7215e-03  3.5114e-03  4.5305e-03  5.8455e-03  7.5422e-03  9.7312e-03  1.2556e-02  1.6200e-02  2.0902e-02  2.6969e-02  3.4796e-02  4.4896e-02  5.7927e-02  7.4740e-02  9.6433e-02  1.2442e-01  1.6054e-01  2.0713e-01  2.6725e-01  3.4482e-01  4.4490e-01  5.7403e-01  7.4064e-01  9.5561e-01  1.2330e+00  1.5908e+00  2.0526e+00  2.6483e+00 
