# 6066
# 5976
# First number is number of lines in the file 
# Second number is the number of reactions
# alpha values increased by 1e12 since I treat GRAIN- and GRAIN0 as separate species
   75 H2O          CRP          OH           H                                        1.26e-14  0.00e+00  0.00e+00  46
   76 H2S          CRP          H2           S                                        6.69e-14  0.00e+00  0.00e+00  46
   77 H2S          CRP          H2S+         E                                        2.21e-14  0.00e+00  0.00e+00  46
   78 HCN          CRP          CN           H                                        4.06e-14  0.00e+00  0.00e+00  46
   79 HCO          CRP          CO           H                                        5.47e-15  0.00e+00  0.00e+00  46
   80 HCO          CRP          HCO+         E                                        1.52e-14  0.00e+00  0.00e+00  46
   81 HCP          CRP          CP           H                                        1.95e-14  0.00e+00  0.00e+00  46
   82 HCS          CRP          HCS+         E                                        1.95e-14  0.00e+00  0.00e+00  46
   83 HCSi         CRP          CH           Si                                       1.95e-14  0.00e+00  0.00e+00  46
   84 HNC          CRP          CN           H                                        3.90e-14  0.00e+00  0.00e+00  46
   85 HNO          CRP          HNO+         E                                        1.30e-14  0.00e+00  0.00e+00  46
   86 HNSi         CRP          SiN          H                                        1.95e-14  0.00e+00  0.00e+00  46
   87 HPO          CRP          PO           H                                        1.95e-14  0.00e+00  0.00e+00  46
   88 HS2          CRP          HS           S                                        1.95e-14  0.00e+00  0.00e+00  46
   89 N2O          CRP          NO           N                                        1.95e-14  0.00e+00  0.00e+00  46
   90 NaOH         CRP          Na           OH                                       1.95e-14  0.00e+00  0.00e+00  46
   91 NH2          CRP          NH           H                                        1.04e-15  0.00e+00  0.00e+00  46
   92 NH2          CRP          NH2+         E                                        8.45e-15  0.00e+00  0.00e+00  46
   93 NO2          CRP          NO           O                                        1.95e-14  0.00e+00  0.00e+00  46
   94 O2H          CRP          O            OH                                       9.75e-15  0.00e+00  0.00e+00  46
   95 O2H          CRP          O2           H                                        9.75e-15  0.00e+00  0.00e+00  46
   96 OCN          CRP          CN           O                                        1.95e-14  0.00e+00  0.00e+00  46
   97 OCS          CRP          CO           S                                        6.96e-14  0.00e+00  0.00e+00  46
   98 OCS          CRP          OCS+         E                                        1.87e-14  0.00e+00  0.00e+00  46
   99 PH2          CRP          PH           H                                        1.95e-14  0.00e+00  0.00e+00  46
  100 SiC2         CRP          SiC          C                                        1.95e-14  0.00e+00  0.00e+00  46
  101 SiH2         CRP          SiH          H                                        1.95e-14  0.00e+00  0.00e+00  46
  102 SiNC         CRP          Si           CN                                       1.95e-14  0.00e+00  0.00e+00  46
  103 SiO2         CRP          SiO          O                                        1.95e-14  0.00e+00  0.00e+00  46
  104 SO2          CRP          SO           O                                        2.44e-14  0.00e+00  0.00e+00  46
  105 C2H2         CRP          C2H          H                                        6.69e-14  0.00e+00  0.00e+00  46
  106 C2H2         CRP          C2H2+        E                                        1.70e-14  0.00e+00  0.00e+00  46
  107 C3H          CRP          C3           H                                        6.50e-14  0.00e+00  0.00e+00  46
  108 HC3          CRP          C3           H                                        6.50e-14  0.00e+00  0.00e+00  46
  109 C3N          CRP          C2           CN                                       2.28e-14  0.00e+00  0.00e+00  46
  110 C3O          CRP          C2           CO                                       8.58e-14  0.00e+00  0.00e+00  46
  111 C3P          CRP          CCP          C                                        1.95e-14  0.00e+00  0.00e+00  46
  112 C3S          CRP          C2           CS                                       1.95e-14  0.00e+00  0.00e+00  46
  113 C4           CRP          C3           C                                        1.30e-14  0.00e+00  0.00e+00  46
  114 CH3          CRP          CH2          H                                        6.50e-15  0.00e+00  0.00e+00  46
  115 CH3          CRP          CH3+         E                                        6.50e-15  0.00e+00  0.00e+00  46
  116 H2CO         CRP          CO           H2                                       3.46e-14  0.00e+00  0.00e+00  46
  117 H2CS         CRP          H2           CS                                       1.95e-14  0.00e+00  0.00e+00  46
  118 H2O2         CRP          OH           OH                                       1.95e-14  0.00e+00  0.00e+00  46
  119 H2S2         CRP          HS           HS                                       1.95e-14  0.00e+00  0.00e+00  46
  120 H2SiO        CRP          SiO          H2                                       1.95e-14  0.00e+00  0.00e+00  46
  121 HCCP         CRP          CCP          H                                        1.95e-14  0.00e+00  0.00e+00  46
  122 NH3          CRP          NH           H2                                       7.02e-15  0.00e+00  0.00e+00  46
  123 NH3          CRP          NH2          H                                        1.72e-14  0.00e+00  0.00e+00  46
  124 NH3          CRP          NH3+         E                                        7.47e-15  0.00e+00  0.00e+00  46
  125 SiC2H        CRP          SiC2         H                                        1.95e-14  0.00e+00  0.00e+00  46
  126 SiC3         CRP          SiC2         C                                        1.95e-14  0.00e+00  0.00e+00  46
  127 SiCH2        CRP          SiC          H2                                       1.95e-14  0.00e+00  0.00e+00  46
  128 SiH3         CRP          SiH2         H                                        1.95e-14  0.00e+00  0.00e+00  46
  129 C2H2N        CRP          CH2          CN                                       6.50e-14  0.00e+00  0.00e+00  46
  130 C2H2O        CRP          CH2          CO                                       1.19e-14  0.00e+00  0.00e+00  46
  131 C2H2O        CRP          C2H2O+       E                                        1.59e-14  0.00e+00  0.00e+00  46
  132 C2H3         CRP          C2H2         H                                        1.95e-14  0.00e+00  0.00e+00  46
  133 C3H2         CRP          C3H          H                                        6.50e-14  0.00e+00  0.00e+00  46
  134 H2C3         CRP          HC3          H                                        6.50e-14  0.00e+00  0.00e+00  46
  135 C4H          CRP          C4           H                                        6.50e-14  0.00e+00  0.00e+00  46
  136 C4N          CRP          C3           CN                                       1.30e-14  0.00e+00  0.00e+00  46
  137 C4P          CRP          C3P          C                                        1.95e-14  0.00e+00  0.00e+00  46
  138 C4S          CRP          C3           CS                                       1.95e-14  0.00e+00  0.00e+00  46
  139 C5           CRP          C4           C                                        1.30e-14  0.00e+00  0.00e+00  46
  140 CH2O2        CRP          HCO          OH                                       3.24e-15  0.00e+00  0.00e+00  46
  141 CH2O2        CRP          CH2O2+       E                                        8.45e-15  0.00e+00  0.00e+00  46
  142 CH2PH        CRP          HCP          H2                                       1.95e-14  0.00e+00  0.00e+00  46
  143 CH3N         CRP          HCN          H2                                       6.47e-14  0.00e+00  0.00e+00  46
  144 CH4          CRP          CH2          H2                                       3.04e-14  0.00e+00  0.00e+00  46
  145 HC3N         CRP          C2H          CN                                       2.24e-14  0.00e+00  0.00e+00  46
  146 SiC2H2       CRP          SiC2         H2                                       1.95e-14  0.00e+00  0.00e+00  46
  147 SiC3H        CRP          SiC3         H                                        1.95e-14  0.00e+00  0.00e+00  46
  148 SiC4         CRP          SiC2         C2                                       1.95e-14  0.00e+00  0.00e+00  46
  149 SiCH3        CRP          SiCH2        H                                        1.95e-14  0.00e+00  0.00e+00  46
  150 SiH4         CRP          SiH2         H2                                       1.95e-14  0.00e+00  0.00e+00  46
  151 C2H3N        CRP          CH3          CN                                       6.19e-14  0.00e+00  0.00e+00  46
  152 C2H3N        CRP          C2H3N+       E                                        2.91e-14  0.00e+00  0.00e+00  46
  153 C2H4         CRP          C2H2         H2                                       4.81e-14  0.00e+00  0.00e+00  46
  154 C2H4         CRP          C2H4+        E                                        1.01e-14  0.00e+00  0.00e+00  46
  155 C3H3         CRP          C3H2         H                                        3.25e-14  0.00e+00  0.00e+00  46
  156 C3H3         CRP          H2C3         H                                        3.25e-14  0.00e+00  0.00e+00  46
  157 C4H2         CRP          C2H          C2H                                      2.25e-14  0.00e+00  0.00e+00  46
  158 C4H2         CRP          C4H          H                                        2.25e-14  0.00e+00  0.00e+00  46
  159 C4H2         CRP          C4H2+        E                                        1.46e-14  0.00e+00  0.00e+00  46
  160 C5H          CRP          C5           H                                        6.50e-14  0.00e+00  0.00e+00  46
  161 C5N          CRP          C4           CN                                       2.28e-14  0.00e+00  0.00e+00  46
