# 15762
# 15711
# First number is number of lines in the file 
# Second number is the number of reactions
   74 NH           CRP          N            H                                        6.50E-15  0.00E+00  0.00E+00  46
   75 ND           CRP          N            D                                        6.50E-15  0.00E+00  0.00E+00  46
   76 NO           CRP          N            O                                        6.27E-15  0.00E+00  0.00E+00  46
   77 NO           CRP          NO+          E                                        6.42E-15  0.00E+00  0.00E+00  46
   78 NS           CRP          N            S                                        6.50E-15  0.00E+00  0.00E+00  46
   79 O2           CRP          O            O                                        9.75E-15  0.00E+00  0.00E+00  46
   80 O2           CRP          O2+          E                                        1.52E-15  0.00E+00  0.00E+00  46
   81 OH           CRP          O            H                                        6.63E-15  0.00E+00  0.00E+00  46
   82 OD           CRP          O            D                                        6.63E-15  0.00E+00  0.00E+00  46
   83 PH           CRP          P            H                                        6.50E-15  0.00E+00  0.00E+00  46
   84 PD           CRP          P            D                                        6.50E-15  0.00E+00  0.00E+00  46
   85 PN           CRP          P            N                                        6.50E-15  0.00E+00  0.00E+00  46
   86 PO           CRP          P            O                                        6.50E-15  0.00E+00  0.00E+00  46
   87 S2           CRP          S            S                                        6.50E-15  0.00E+00  0.00E+00  46
   88 SiC          CRP          Si           C                                        6.50E-15  0.00E+00  0.00E+00  46
   89 SiH          CRP          Si           H                                        6.50E-15  0.00E+00  0.00E+00  46
   90 SiD          CRP          Si           D                                        6.50E-15  0.00E+00  0.00E+00  46
   91 SiN          CRP          Si           N                                        6.50E-15  0.00E+00  0.00E+00  46
   92 SiO          CRP          Si           O                                        6.50E-15  0.00E+00  0.00E+00  46
   93 SiS          CRP          Si           S                                        6.50E-15  0.00E+00  0.00E+00  46
   94 SO           CRP          S            O                                        6.50E-15  0.00E+00  0.00E+00  46
   95 C2H          CRP          C2           H                                        6.50E-14  0.00E+00  0.00E+00  46
   96 C2D          CRP          C2           D                                        6.50E-14  0.00E+00  0.00E+00  46
   97 C2N          CRP          C            CN                                       1.30E-14  0.00E+00  0.00E+00  46
   98 C2S          CRP          CS           C                                        1.95E-14  0.00E+00  0.00E+00  46
   99 C3           CRP          C2           C                                        1.46E-14  0.00E+00  0.00E+00  46
  100 CCO          CRP          C2           O                                        9.75E-15  0.00E+00  0.00E+00  46
  101 CCO          CRP          CO           C                                        9.75E-15  0.00E+00  0.00E+00  46
  102 CCP          CRP          C2           P                                        9.75E-15  0.00E+00  0.00E+00  46
  103 CCP          CRP          CP           C                                        9.75E-15  0.00E+00  0.00E+00  46
  104 CH2          CRP          CH2+         E                                        6.50E-15  0.00E+00  0.00E+00  46
  105 CHD          CRP          CHD+         E                                        6.50E-15  0.00E+00  0.00E+00  46
  106 CD2          CRP          CD2+         E                                        6.50E-15  0.00E+00  0.00E+00  46
  107 CO2          CRP          CO           O                                        2.22E-14  0.00E+00  0.00E+00  46
  108 H2O          CRP          OH           H                                        1.26E-14  0.00E+00  0.00E+00  46
  109 HDO          CRP          OD           H                                        6.30E-15  0.00E+00  0.00E+00  46
