# Numerical radiation field:  Lyman-alpha_100km.s-1
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
120.24100 7.01049e+01
120.24200 7.02109e+01
120.24300 7.03171e+01
120.24400 7.04236e+01
120.24500 7.05303e+01
120.24600 7.06373e+01
120.24700 7.07445e+01
120.24800 7.08520e+01
120.24900 7.09597e+01
120.25000 7.10677e+01
120.25100 7.11759e+01
120.25200 7.12843e+01
120.25300 7.13930e+01
120.25400 7.15020e+01
120.25500 7.16111e+01
120.25600 7.17206e+01
120.25700 7.18303e+01
120.25800 7.19402e+01
120.25900 7.20504e+01
120.26000 7.21609e+01
120.26100 7.22716e+01
120.26200 7.23826e+01
120.26300 7.24938e+01
120.26400 7.26053e+01
120.26500 7.27170e+01
120.26600 7.28290e+01
120.26700 7.29413e+01
120.26800 7.30538e+01
120.26900 7.31665e+01
120.27000 7.32796e+01
120.27100 7.33929e+01
120.27200 7.35064e+01
120.27300 7.36203e+01
120.27400 7.37343e+01
120.27500 7.38487e+01
120.27600 7.39633e+01
120.27700 7.40782e+01
120.27800 7.41934e+01
120.27900 7.43088e+01
120.28000 7.44245e+01
120.28100 7.45404e+01
120.28200 7.46567e+01
120.28300 7.47732e+01
120.28400 7.48900e+01
120.28500 7.50070e+01
120.28600 7.51244e+01
120.28700 7.52420e+01
120.28800 7.53598e+01
120.28900 7.54780e+01
120.29000 7.55964e+01
120.29100 7.57152e+01
120.29200 7.58342e+01
120.29300 7.59534e+01
120.29400 7.60730e+01
120.29500 7.61928e+01
120.29600 7.63130e+01
120.29700 7.64334e+01
120.29800 7.65541e+01
120.29900 7.66751e+01
120.30000 7.67963e+01
120.30100 7.69179e+01
120.30200 7.70397e+01
120.30300 7.71619e+01
120.30400 7.72843e+01
120.30500 7.74070e+01
120.30600 7.75300e+01
120.30700 7.76533e+01
120.30800 7.77769e+01
120.30900 7.79008e+01
120.31000 7.80250e+01
120.31100 7.81495e+01
120.31200 7.82743e+01
120.31300 7.83994e+01
120.31400 7.85248e+01
120.31500 7.86505e+01
120.31600 7.87764e+01
120.31700 7.89027e+01
120.31800 7.90293e+01
120.31900 7.91562e+01
120.32000 7.92834e+01
120.32100 7.94110e+01
120.32200 7.95388e+01
120.32300 7.96669e+01
120.32400 7.97954e+01
120.32500 7.99241e+01
120.32600 8.00532e+01
120.32700 8.01826e+01
120.32800 8.03123e+01
120.32900 8.04423e+01
120.33000 8.05726e+01
120.33100 8.07032e+01
120.33200 8.08342e+01
120.33300 8.09655e+01
120.33400 8.10971e+01
120.33500 8.12290e+01
120.33600 8.13612e+01
120.33700 8.14938e+01
120.33800 8.16267e+01
120.33900 8.17599e+01
120.34000 8.18934e+01
120.34100 8.20273e+01
120.34200 8.21615e+01
120.34300 8.22960e+01
