# R(AU) Z(AU)x60
1.00290e+00	2.57951e+00	2.43187e+00	2.29811e+00	2.17627e+00	2.06472e+00	1.96215e+00	1.86742e+00	1.77962e+00	1.69793e+00	1.62167e+00	1.55028e+00	1.48324e+00	1.42011e+00	1.36052e+00	1.30413e+00	1.25065e+00	1.19981e+00	1.15139e+00	1.10518e+00	1.06100e+00	1.01867e+00	9.78065e-01	9.39036e-01	9.01466e-01	8.65245e-01	8.30273e-01	7.96460e-01	7.63722e-01	7.31982e-01	7.01172e-01	6.71225e-01	6.42084e-01	6.13691e-01	5.85996e-01	5.58953e-01	5.32515e-01	5.06643e-01	4.81297e-01	4.56441e-01	4.32041e-01	4.08065e-01	3.84482e-01	3.61265e-01	3.38385e-01	3.15818e-01	2.93537e-01	2.71520e-01	2.49745e-01	2.28189e-01	2.06832e-01	1.85653e-01	1.64633e-01	1.43753e-01	1.22994e-01	1.02339e-01	8.17692e-02	6.12676e-02	4.08168e-02	2.03999e-02	0.00000e+00	
1.37430e+00	3.53490e+00	3.33258e+00	3.14928e+00	2.98230e+00	2.82945e+00	2.68888e+00	2.55907e+00	2.43874e+00	2.32680e+00	2.22230e+00	2.12447e+00	2.03260e+00	1.94609e+00	1.86443e+00	1.78715e+00	1.71386e+00	1.64420e+00	1.57784e+00	1.51452e+00	1.45397e+00	1.39597e+00	1.34032e+00	1.28683e+00	1.23535e+00	1.18571e+00	1.13779e+00	1.09145e+00	1.04659e+00	1.00309e+00	9.60869e-01	9.19831e-01	8.79896e-01	8.40987e-01	8.03036e-01	7.65975e-01	7.29746e-01	6.94291e-01	6.59557e-01	6.25495e-01	5.92058e-01	5.59202e-01	5.26885e-01	4.95069e-01	4.63715e-01	4.32789e-01	4.02256e-01	3.72085e-01	3.42245e-01	3.12705e-01	2.83437e-01	2.54414e-01	2.25609e-01	1.96996e-01	1.68548e-01	1.40243e-01	1.12055e-01	8.39596e-02	5.59344e-02	2.79555e-02	0.00000e+00	
1.60880e+00	4.13806e+00	3.90122e+00	3.68664e+00	3.49118e+00	3.31224e+00	3.14769e+00	2.99573e+00	2.85487e+00	2.72382e+00	2.60150e+00	2.48697e+00	2.37942e+00	2.27815e+00	2.18256e+00	2.09210e+00	2.00630e+00	1.92475e+00	1.84707e+00	1.77294e+00	1.70206e+00	1.63416e+00	1.56902e+00	1.50641e+00	1.44614e+00	1.38803e+00	1.33193e+00	1.27768e+00	1.22517e+00	1.17425e+00	1.12482e+00	1.07678e+00	1.03003e+00	9.84486e-01	9.40058e-01	8.96674e-01	8.54263e-01	8.12759e-01	7.72098e-01	7.32224e-01	6.93082e-01	6.54619e-01	6.16788e-01	5.79543e-01	5.42839e-01	5.06636e-01	4.70894e-01	4.35574e-01	4.00642e-01	3.66062e-01	3.31800e-01	2.97825e-01	2.64105e-01	2.30609e-01	1.97308e-01	1.64173e-01	1.31175e-01	9.82857e-02	6.54785e-02	3.27256e-02	0.00000e+00	
1.88330e+00	4.84415e+00	4.56689e+00	4.31570e+00	4.08688e+00	3.87741e+00	3.68478e+00	3.50689e+00	3.34200e+00	3.18859e+00	3.04539e+00	2.91132e+00	2.78542e+00	2.66688e+00	2.55497e+00	2.44907e+00	2.34864e+00	2.25317e+00	2.16224e+00	2.07546e+00	1.99248e+00	1.91300e+00	1.83674e+00	1.76344e+00	1.69289e+00	1.62487e+00	1.55920e+00	1.49570e+00	1.43422e+00	1.37461e+00	1.31675e+00	1.26052e+00	1.20579e+00	1.15247e+00	1.10046e+00	1.04967e+00	1.00003e+00	9.51440e-01	9.03842e-01	8.57164e-01	8.11343e-01	7.66317e-01	7.22031e-01	6.78430e-01	6.35464e-01	5.93084e-01	5.51242e-01	5.09897e-01	4.69004e-01	4.28523e-01	3.88416e-01	3.48643e-01	3.09169e-01	2.69958e-01	2.30975e-01	1.92186e-01	1.53557e-01	1.15056e-01	7.66512e-02	3.83096e-02	0.00000e+00	
2.20470e+00	5.67070e+00	5.34614e+00	5.05208e+00	4.78422e+00	4.53901e+00	4.31351e+00	4.10528e+00	3.91224e+00	3.73266e+00	3.56503e+00	3.40808e+00	3.26070e+00	3.12193e+00	2.99093e+00	2.86696e+00	2.74939e+00	2.63763e+00	2.53118e+00	2.42959e+00	2.33246e+00	2.23942e+00	2.15014e+00	2.06434e+00	1.98175e+00	1.90212e+00	1.82524e+00	1.75091e+00	1.67894e+00	1.60916e+00	1.54143e+00	1.47560e+00	1.41153e+00	1.34912e+00	1.28823e+00	1.22878e+00	1.17066e+00	1.11378e+00	1.05806e+00	1.00342e+00	9.49782e-01	8.97074e-01	8.45232e-01	7.94191e-01	7.43894e-01	6.94282e-01	6.45301e-01	5.96901e-01	5.49030e-01	5.01643e-01	4.54691e-01	4.08132e-01	3.61923e-01	3.16021e-01	2.70386e-01	2.24978e-01	1.79758e-01	1.34688e-01	8.97302e-02	4.48464e-02	0.00000e+00	
3.02120e+00	7.77100e+00	7.32622e+00	6.92326e+00	6.55619e+00	6.22015e+00	5.91114e+00	5.62578e+00	5.36125e+00	5.11515e+00	4.88543e+00	4.67035e+00	4.46838e+00	4.27821e+00	4.09869e+00	3.92882e+00	3.76769e+00	3.61454e+00	3.46867e+00	3.32946e+00	3.19635e+00	3.06884e+00	2.94651e+00	2.82893e+00	2.71574e+00	2.60662e+00	2.50127e+00	2.39940e+00	2.30078e+00	2.20516e+00	2.11234e+00	2.02212e+00	1.93433e+00	1.84880e+00	1.76536e+00	1.68389e+00	1.60425e+00	1.52630e+00	1.44995e+00	1.37507e+00	1.30156e+00	1.22933e+00	1.15829e+00	1.08834e+00	1.01941e+00	9.51427e-01	8.84306e-01	8.17979e-01	7.52378e-01	6.87439e-01	6.23098e-01	5.59295e-01	4.95971e-01	4.33068e-01	3.70531e-01	3.08305e-01	2.46337e-01	1.84574e-01	1.22964e-01	6.14565e-02	0.00000e+00	
3.53670e+00	9.09697e+00	8.57630e+00	8.10458e+00	7.67487e+00	7.28150e+00	6.91976e+00	6.58571e+00	6.27604e+00	5.98795e+00	5.71904e+00	5.46726e+00	5.23083e+00	5.00821e+00	4.79806e+00	4.59919e+00	4.41058e+00	4.23130e+00	4.06053e+00	3.89756e+00	3.74174e+00	3.59248e+00	3.44927e+00	3.31163e+00	3.17913e+00	3.05139e+00	2.92806e+00	2.80881e+00	2.69336e+00	2.58143e+00	2.47277e+00	2.36716e+00	2.26439e+00	2.16426e+00	2.06659e+00	1.97122e+00	1.87798e+00	1.78674e+00	1.69735e+00	1.60969e+00	1.52365e+00	1.43909e+00	1.35592e+00	1.27405e+00	1.19336e+00	1.11377e+00	1.03520e+00	9.57551e-01	8.80757e-01	8.04737e-01	7.29418e-01	6.54728e-01	5.80599e-01	5.06962e-01	4.33754e-01	3.60911e-01	2.88369e-01	2.16068e-01	1.43946e-01	7.19428e-02	0.00000e+00	
4.14020e+00	1.06492e+01	1.00397e+01	9.48747e+00	8.98444e+00	8.52395e+00	8.10048e+00	7.70943e+00	7.34692e+00	7.00967e+00	6.69488e+00	6.40014e+00	6.12337e+00	5.86276e+00	5.61675e+00	5.38396e+00	5.16316e+00	4.95328e+00	4.75338e+00	4.56261e+00	4.38020e+00	4.20547e+00	4.03782e+00	3.87669e+00	3.72159e+00	3.57205e+00	3.42768e+00	3.28809e+00	3.15293e+00	3.02190e+00	2.89470e+00	2.77107e+00	2.65076e+00	2.53355e+00	2.41921e+00	2.30757e+00	2.19842e+00	2.09161e+00	1.98697e+00	1.88436e+00	1.78363e+00	1.68464e+00	1.58729e+00	1.49144e+00	1.39698e+00	1.30381e+00	1.21183e+00	1.12094e+00	1.03104e+00	9.42050e-01	8.53879e-01	7.66445e-01	6.79667e-01	5.93466e-01	5.07766e-01	4.22494e-01	3.37574e-01	2.52936e-01	1.68507e-01	8.42185e-02	0.00000e+00	
5.67360e+00	1.45934e+01	1.37581e+01	1.30014e+01	1.23121e+01	1.16810e+01	1.11007e+01	1.05648e+01	1.00680e+01	9.60589e+00	9.17451e+00	8.77060e+00	8.39132e+00	8.03419e+00	7.69706e+00	7.37804e+00	7.07547e+00	6.78786e+00	6.51392e+00	6.25249e+00	6.00252e+00	5.76308e+00	5.53333e+00	5.31253e+00	5.09998e+00	4.89506e+00	4.69721e+00	4.50591e+00	4.32070e+00	4.14114e+00	3.96683e+00	3.79741e+00	3.63254e+00	3.47191e+00	3.31523e+00	3.16223e+00	3.01267e+00	2.86629e+00	2.72290e+00	2.58228e+00	2.44424e+00	2.30860e+00	2.17518e+00	2.04383e+00	1.91439e+00	1.78671e+00	1.66066e+00	1.53611e+00	1.41291e+00	1.29096e+00	1.17014e+00	1.05032e+00	9.31399e-01	8.13271e-01	6.95831e-01	5.78975e-01	4.62603e-01	3.46617e-01	2.30918e-01	1.15411e-01	0.00000e+00	
6.64170e+00	1.70835e+01	1.61057e+01	1.52198e+01	1.44129e+01	1.36742e+01	1.29948e+01	1.23675e+01	1.17860e+01	1.12450e+01	1.07400e+01	1.02671e+01	9.82313e+00	9.40507e+00	9.01042e+00	8.63697e+00	8.28276e+00	7.94608e+00	7.62540e+00	7.31935e+00	7.02673e+00	6.74644e+00	6.47749e+00	6.21901e+00	5.97019e+00	5.73031e+00	5.49870e+00	5.27476e+00	5.05794e+00	4.84774e+00	4.64369e+00	4.44536e+00	4.25236e+00	4.06433e+00	3.88091e+00	3.70181e+00	3.52672e+00	3.35537e+00	3.18751e+00	3.02290e+00	2.86130e+00	2.70251e+00	2.54633e+00	2.39257e+00	2.24104e+00	2.09158e+00	1.94403e+00	1.79821e+00	1.65400e+00	1.51124e+00	1.36980e+00	1.22953e+00	1.09032e+00	9.52041e-01	8.14561e-01	6.77766e-01	5.41538e-01	4.05760e-01	2.70320e-01	1.35104e-01	0.00000e+00	
