# R [arcsec], Z [arcsec], Temperature [K]
1.295346, 0.037461, 5.886802
1.304784, 0.312174, 5.676499
1.313735, 0.224765, 7.628060
1.313825, 0.062435, 6.514252
1.318811, 0.312174, 5.595768
1.320599, 0.162330, 6.480394
1.321325, 0.224765, 7.404886
1.321330, 0.299687, 5.489895
1.329173, 0.224765, 7.108474
1.332618, 0.049948, 6.203027
1.338463, 0.149843, 6.721551
1.345623, 0.199791, 6.581517
1.347316, 0.287200, 5.459435
1.352511, 0.212278, 6.890581
1.358339, 0.149843, 6.955266
1.361786, 0.287200, 5.584985
1.363538, 0.287200, 8.927294
1.376497, 0.137356, 7.161755
1.383053, 0.287200, 8.943121
1.387792, 0.274713, 5.869290
1.402582, 0.287200, 8.936345
1.405084, 0.137356, 5.581957
1.413800, 0.262226, 6.166028
1.422124, 0.287200, 8.921561
1.439716, 0.137356, 7.607942
1.441678, 0.262226, 8.933268
1.457902, 0.249739, 8.887762
1.459583, 0.137356, 7.681721
1.475601, 0.099896, 6.358686
1.477524, 0.224765, 8.823632
1.481313, 0.237252, 5.672540
1.481431, 0.124870, 7.792138
1.493296, 0.324661, 6.632801
1.493683, 0.237252, 5.665730
1.503413, 0.112383, 7.888764
1.509036, 0.249739, 5.840714
1.518911, 0.337148, 6.564448
1.524870, 0.274713, 5.768018
1.525523, 0.099896, 7.929426
1.531760, 0.262226, 5.465258
1.531760, 0.337148, 6.454678
1.531797, 0.249739, 5.481023
1.532167, 0.274713, 5.667136
1.539414, 0.324661, 5.943176
1.544762, 0.337148, 6.249907
1.545424, 0.274713, 5.912914
1.546524, 0.262226, 6.058763
1.547756, 0.087409, 7.858391
1.557912, 0.337148, 6.012222
1.564451, 0.312174, 6.128266
1.565126, 0.074922, 7.635056
1.582753, 0.312174, 6.026310
1.587308, 0.062435, 7.434141
1.601096, 0.287200, 5.821979
1.606836, 0.287200, 5.681297
1.632762, 0.299687, 5.752635
1.640098, 0.312174, 5.762222
1.643532, 0.149843, 6.526335
1.696788, 0.312174, 5.945740
1.699981, 0.324661, 5.762916
1.703566, 0.337148, 5.544896
1.722702, 0.237252, 5.798270
1.744599, 0.249739, 5.575775
1.774651, 0.124870, 6.412546
1.811861, 0.349635, 6.515884
1.818252, 0.349635, 6.375749
1.824840, 0.374609, 6.367771
1.827562, 0.112383, 6.168602
1.837196, 0.124870, 5.827477
1.840585, 0.362122, 6.053105
1.846839, 0.112383, 6.117714
1.852448, 0.099896, 5.858740
1.856797, 0.124870, 6.198348
1.882236, 0.112383, 6.368598
1.900004, 0.112383, 6.646257
1.922975, 0.312174, 6.056325
1.935842, 0.299687, 5.486200
1.947706, 0.299687, 5.895487
1.957136, 0.287200, 5.666155
1.957678, 0.012487, 6.493229
1.958356, 0.299687, 5.590933
1.984739, 0.274713, 7.912824
1.997776, 0.262226, 7.861814
2.034681, 0.287200, 6.167712
2.053467, 0.287200, 6.464636
2.077986, 0.299687, 6.657781
2.096766, 0.299687, 6.667669
2.115568, 0.299687, 6.462646
2.127839, 0.299687, 5.501464
2.134392, 0.299687, 6.078235
2.144877, 0.299687, 5.643443
2.147726, 0.287200, 5.798779
2.161966, 0.299687, 5.643936
2.172102, 0.274713, 5.418769
2.179105, 0.299687, 5.429751
2.205461, 0.112383, 7.319092
2.225495, 0.124870, 6.726668
2.229267, 0.124870, 6.322128
2.258904, 0.087409, 5.763912
2.288755, 0.524452, 6.173505
2.289813, 0.174817, 5.490552
2.301928, 0.511965, 6.299362
2.303422, 0.362122, 5.598908
2.307553, 0.549426, 5.768842
2.310965, 0.012487, 5.465483
2.315048, 0.212278, 6.275751
2.315866, 0.187304, 5.442396
2.320791, 0.511965, 6.283988
2.320791, 0.561913, 6.097701
2.327778, 0.337148, 5.881658
2.328813, 0.349635, 5.783864
2.331359, 0.187304, 5.547015
2.335372, 0.224765, 6.270266
2.339479, 0.249739, 6.103704
2.343750, 0.249739, 5.985791
2.366420, 0.312174, 5.653566
2.367973, 0.187304, 5.532790
2.404659, 0.162330, 5.451207
2.428981, 0.686782, 5.684558
2.462192, 0.337148, 5.943279
