# R [arcsec], Z [arcsec], Temperature [K]
1.141388, 0.074922, 17.796203
1.142270, 0.137356, 20.349837
1.142270, 0.162330, 24.419067
1.144830, 0.174817, 18.885238
1.147351, 0.137356, 19.791417
1.149407, 0.212278, 17.209294
1.152548, 0.074922, 17.270430
1.155349, 0.137356, 18.548175
1.160523, 0.162330, 19.450307
1.162059, 0.137356, 20.841611
1.163945, 0.074922, 16.766360
1.164576, 0.149843, 24.748050
1.167326, 0.162330, 17.492236
1.175285, 0.224765, 16.909539
1.175571, 0.074922, 16.342131
1.177711, 0.237252, 15.284694
1.180276, 0.149843, 18.376242
1.184330, 0.149843, 16.139770
1.184330, 0.149843, 24.834034
1.198539, 0.249739, 20.195639
1.201172, 0.212278, 16.686075
1.203656, 0.249739, 15.681388
1.204092, 0.099896, 17.700140
1.204092, 0.149843, 14.510398
1.204092, 0.124870, 24.764724
1.205251, 0.162330, 18.131756
1.215078, 0.212278, 16.308856
1.223861, 0.099896, 17.831473
1.223861, 0.124870, 24.330183
1.224116, 0.212278, 15.018905
1.229152, 0.212278, 15.945673
1.230271, 0.174817, 17.848101
1.237118, 0.212278, 14.792983
1.237866, 0.199791, 18.649248
1.240731, 0.162330, 17.547736
1.243638, 0.124870, 23.658846
1.246214, 0.087409, 17.978217
1.248953, 0.287200, 16.067000
1.250304, 0.212278, 14.588947
1.251364, 0.199791, 18.366078
1.252473, 0.262226, 19.613831
1.255333, 0.187304, 17.516479
1.259609, 0.187304, 17.354501
1.263423, 0.124870, 22.801621
1.264791, 0.174817, 17.540391
1.264898, 0.174817, 15.278221
1.265035, 0.224765, 17.676992
1.265181, 0.287200, 16.396950
1.268708, 0.099896, 18.074057
1.275305, 0.249739, 19.159006
1.276858, 0.174817, 15.097006
1.277039, 0.049948, 19.378785
1.278872, 0.224765, 17.177779
1.280435, 0.199791, 17.097598
1.281516, 0.287200, 16.654018
1.283938, 0.199791, 17.226238
1.289632, 0.199791, 23.821347
1.292870, 0.224765, 16.651986
