H	12.0 	1	0
He	10.93	8.51e-2	0
Li	1.05	1.12e-11	1
Be	1.38	2.40e-11	1
B	2.70	5.01e-10	1
C	8.43	2.69e-4	0.28
N	7.83	6.761e-5	1
O	8.69	4.89e-4	0.50
F	4.56	3.63e-8	1
Ne	7.93	8.51e-5	0
Na	6.24	1.74e-6	1
Mg	7.60	3.98e-5	1
Al	6.45	2.81e-6	1
Si	7.51	3.24e-5	1
P	5.41	2.57e-7	1
S	7.12	1.32e-5	1
Cl	5.50	3.16e-7	1
Ar	6.40	2.51e-6	0
K	5.03	1.07e-7	1
Ca	6.34	2.19e-6	1
Sc	3.15	1.41e-9	1
Ti	4.95	8.91e-8	1
V	3.93	8.51e-9	1
Cr	5.64	4.37e-7	1
Mn	5.43	2.69e-7	1
Fe	7.50	3.16e-5	1
Co	4.99	9.77e-8	1
Ni	6.22	1.66e-6	1
