#um    star(nufnu) model
1.266887157999999999e+03 3.022961361619998258e-18 3.946779834046842624e-13
1.557629417000000103e+03 1.626499658356687326e-18 1.714235121784023093e-13
1.915095109000000093e+03 8.751356112587664179e-19 6.899282124529092930e-14
2.354596824000000197e+03 4.708653541781624766e-19 2.537404529812628876e-14
2.894961287000000084e+03 2.533483714248626443e-19 8.686345016322364124e-15
3.559335834999999861e+03 1.363136971861002547e-19 2.814473425112059596e-15
4.376179965999999695e+03 7.334337273901720266e-20 8.899505453701565082e-16
5.380484445000000051e+03 3.946228760754252402e-20 2.395522490962460465e-16
6.615270188000000417e+03 2.123262246482827470e-20 6.742655860685732725e-17
8.133431126000000404e+03 1.142417949318910499e-20 2.289275380804405671e-17
1.000000000000000000e+04 6.146762005728268561e-21 8.264283415552724720e-18
